DateTime,Load (kW)
3/19/2017 8:00,1.22575
3/19/2017 9:00,1.00425
3/19/2017 10:00,2.36575
3/19/2017 11:00,2.9935
3/19/2017 12:00,1.52025
3/19/2017 13:00,1.02375
3/19/2017 14:00,0.877
3/19/2017 15:00,2.86
3/19/2017 16:00,1.06025
3/19/2017 17:00,0.824
3/19/2017 18:00,0.72275
3/19/2017 19:00,0.77675
3/19/2017 20:00,0.62575
3/19/2017 21:00,0.51125
3/19/2017 22:00,0.467
3/19/2017 23:00,0.455
3/20/2017 0:00,0.4795
3/20/2017 1:00,0.45225
3/20/2017 2:00,0.48525
3/20/2017 3:00,0.42325
3/20/2017 4:00,0.48975
3/20/2017 5:00,0.47025
3/20/2017 6:00,0.7745
3/20/2017 7:00,0.81425
3/20/2017 8:00,3.53325
3/20/2017 9:00,1.03425
3/20/2017 10:00,2.2185
3/20/2017 11:00,2.8045
3/20/2017 12:00,1.07975
3/20/2017 13:00,1.069
3/20/2017 14:00,1.42425
3/20/2017 15:00,2.92125
3/20/2017 16:00,0.985
3/20/2017 17:00,1.21225
3/20/2017 18:00,0.833
3/20/2017 19:00,0.73525
3/20/2017 20:00,0.6915
3/20/2017 21:00,0.52625
3/20/2017 22:00,0.43925
3/20/2017 23:00,0.501
